actual_tweets,final_sentiment,clean_tweets,positive_count,negative_count
RT qcook23 Best available Halifax 6 6 Michael Spraggins textbook post can light it up behind the arch handles well strong defensively f ,Negative,qcook available halifax   michael spraggins textbook post light arch handles strong defensively,2,3
RT teamnovascotia Alex Bulgaru Halifax won his bout tonight by decision and advances to the gold medal match on Wednesday Here are his ,Positive,teamnovascotia alex bulgaru halifax won tonight decision advances gold medal match wednesday,2,1
RT Dafydd Jones Debut for Halifax RLFC Reserves A good game vs Huddersfield Giants Academy and felt good to get a Try in Happy to be ,Neutral,dafydd jones debut halifax rlfc reserves game vs huddersfield giants academy try happy,1,1
 RanveerOfficial I wanna see gully boy but I live in Halifax Nova Scotia there are no theatres around me cou ,Negative,ranveerofficial wanna gully boy live halifax nova scotia theatres,0,1
Eastern Canadians Unite Salad is trying to Kill us all We shall retaliate with Mary Browns in St John s Donai ,Negative,eastern canadians unite salad trying kill retaliate mary browns john donai,0,4
After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations ,Neutral,wilson raybould cartoon halifax artist stop drawing women violent situations,2,2
All aboard RonMacLeanHTH and TaraSlone are taken aboard the HMCS Vancouver a Halifax class Canadian Patrol Frig ,Neutral,aboard ronmacleanhth taraslone aboard hmcs vancouver halifax class canadian patrol frig,2,2
RT CBCNS UPDATED At least 5 people killed in Halifax house fire A neighbour has told CBC that the family living there had seven childr ,Negative,cbcns updated  people killed halifax house fire neighbour told cbc family living seven childr,1,4
RT MOSHHalifax Halifax the Warming Centre is OPEN today Tues February 19th from 8 am 8 30 pm at St Matthew s church on Barringto ,Neutral,moshhalifax halifax warming centre tues february th    pm matthew church barringto,1,1
Your intuition on the job serves you impressions that seem to More for Gemini ,Positive,intuition job serves impressions gemini,2,0
RT alanthomasdoyle Eastern Canadians Unite Salad is trying to Kill us all We shall retaliate with Mary Browns in St John s Donairs ,Negative,alanthomasdoyle eastern canadians unite salad trying kill retaliate mary browns john donairs,0,4
I am deeply saddened amp my heart goes out to the Halifax family and our first responder family at hfxfire dealing w ,Negative,deeply saddened amp heart goes halifax family responder family hfxfire dealing,0,4
Overnight fire destroys Halifax home 1 man life threatening injuries 1 woman non life threatening 5 bodies ,Negative,overnight fire destroys halifax home  life threatening injuries  woman life threatening  bodies,0,8
My thoughts and prayers sent to Halifax today I am staying up to date on Fire in Spryfield that has claimed the li ,Negative,prayers halifax staying date fire spryfield claimed,0,3
RT AlexanderQuon Halifax MP Andy Fillmore voices his support for those affected by the fire this morning in Spryfield ,Negative,alexanderquon halifax andy fillmore voices support affected fire morning spryfield,1,3
 SportNovaScotia Another layer of growth and progression in Halifax Badass logo reminds me of an Osprey ,Negative,sportnovascotia layer growth progression halifax badass logo reminds osprey,1,2
RT qcook23 Best available Halifax 6 6 Michael Spraggins textbook post can light it up behind the arch handles well strong defensively f ,Negative,qcook available halifax   michael spraggins textbook post light arch handles strong defensively,2,3
RT teamnovascotia Alex Bulgaru Halifax won his bout tonight by decision and advances to the gold medal match on Wednesday Here are his ,Positive,teamnovascotia alex bulgaru halifax won tonight decision advances gold medal match wednesday,2,1
RT Dafydd Jones Debut for Halifax RLFC Reserves A good game vs Huddersfield Giants Academy and felt good to get a Try in Happy to be ,Neutral,dafydd jones debut halifax rlfc reserves game vs huddersfield giants academy try happy,1,1
 BREAKING 7 children have died in an early morning house fire in Halifax Neighbours say the youngest was just 3 m ,Negative,breaking  children died morning house fire halifax neighbours ,0,6
Eastern Canadians Unite Salad is trying to Kill us all We shall retaliate with Mary Browns in St John s Donai ,Negative,eastern canadians unite salad trying kill retaliate mary browns john donai,0,4
WATCH LIVE Halifax Fire and Halifax Regional Police holding press conference to update on the fatal fire ,Negative,watch live halifax fire halifax regional police holding press conference update fatal fire,0,6
Halifax Councillor Steve Adams says victims were a Syrian family that moved to the house recently Says homes in ,Negative,halifax councillor steve adams victims syrian family moved house recently homes,0,1
A neighbour said the family that lived in the house included seven children ranging in age from three months to 17 ,Neutral,neighbour family lived house included seven children ranging age months ,0,0
RT nationalrailenq Brighouse The trespass incident near Brighouse has ended and all lines reopened Trains between Mirfield and Hebden ,Negative,nationalrailenq brighouse trespass incident near brighouse lines reopened trains mirfield hebden,0,3
RT FirechiefVince I am deeply saddened amp my heart goes out to the Halifax family and our first responder family at hfxfire dealing with ,Negative,firechiefvince deeply saddened amp heart goes halifax family responder family hfxfire dealing,0,4
RT CBCTheNational Halifax house fire kills 7 children of refugee family ,Negative,cbcthenational halifax house fire kills  children refugee family,0,4
RT globalhalifax WATCH LIVE Halifax Fire and Halifax Regional Police holding press conference to update on the fatal fire ,Negative,globalhalifax watch live halifax fire halifax regional police holding press conference update fatal fire,0,6
RT globalhalifax Seven children from a young family have died in an early morning house fire in Halifax FULL STORY ,Negative,globalhalifax seven children family died morning house fire halifax story,0,4
BREAKING 7 children killed in Halifax house fire CTV ,Negative,breaking  children killed halifax house fire ctv,1,6
RT 680NEWS Seven children die in Halifax house fire ,Negative,news seven children die halifax house fire,0,3
RT FevRovers Featherstone Rovers take on Halifax RLFC at the LDNutritionltd Stadium on Sunday The Rovers have been studying how ,Negative,fevrovers featherstone rovers halifax rlfc ldnutritionltd stadium sunday rovers studying,1,2
RT PaulSan42117074 What in God s name is this cynical Liberal vote gathering regime doing importing huge families that are better off s ,Negative,paulsan god name cynical liberal vote gathering regime doing importing huge families,1,3
RT TheSecretList 7 KIDS KILLED IN NON SPRINKLERED HOUSE FIRE SEVEN CHILDREN Something out of a horror movie ,Negative,thesecretlist  kids killed sprinklered house fire seven children horror movie,1,3
Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to th ,Negative,words fail children soon especially circumstances heart goes,0,2
Jill and I are heartbroken to hear about the devastating fire in Halifax Our prayers are with the parents as they ,Negative,jill heartbroken hear devastating fire halifax prayers parents,0,5
 BREAKING 7 children have died in an early morning house fire in Halifax Neighbours say the youngest was just 3 m ,Negative,breaking  children died morning house fire halifax neighbours ,0,6
This is just gutting Unbelievable gt Family that lost 7 children in fire came to Halifax as refugees in 2017 ,Negative,gutting unbelievable gt family lost  children fire halifax refugees ,1,6
We haven t been to Halifax for a number of years but if when my wife amp I ever go back we will certainly go back t ,Negative,haven halifax wife amp,0,1
RT Ashess When giving me directions please DO NOT call street names especially in the town of St George I don t know where is Melvi ,Negative,ashess giving directions please call street names especially town george melvi,1,4
RT portiaclarkcbc Heartbreaking Halifax house fire kills 7 children of refugee family CBC News ,Negative,portiaclarkcbc heartbreaking halifax house fire kills  children refugee family cbc news,0,7
RT SJA NS PEI St John Ambulance NS PEI CEO CEOSJANS speaking with CyrilLunneyCTV announcing the partnership with Emera Inc today in ,Neutral,sja pei john ambulance pei ceo ceosjans speaking cyrillunneyctv announcing partnership emera,0,0
Unimaginable tragedy HalifaxFire Family that lost 7 children in fire came to Halifax as refugees in 2017 ,Negative,unimaginable tragedy halifaxfire family lost  children fire halifax refugees ,0,6
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT CBCNS Family that lost 7 children in house fire came to Halifax as refugees in 2017 ,Negative,cbcns family lost  children house fire halifax refugees ,0,3
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT AlexanderQuon It s important to reflect on the past That s part of the reason I wrote this story which examines the 100th anniversar ,Negative,alexanderquon reflect past reason wrote story examines th anniversar,0,1
RT BulletinSport Martinsville boys will play Dan River at Halifax Friday night in the Region 2C semifinals ,Negative,bulletinsport martinsville boys play dan river halifax friday night region c semifinals,0,2
RT haligonia Today is a sad and tragic day after a fatal fire in Halifax A family suffered a terrible tragedy And this is a strong re ,Negative,haligonia sad tragic fatal fire halifax family suffered terrible tragedy strong,1,12
Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to th ,Negative,words fail children soon especially circumstances heart goes,0,2
Jill and I are heartbroken to hear about the devastating fire in Halifax Our prayers are with the parents as they ,Negative,jill heartbroken hear devastating fire halifax prayers parents,0,5
 BREAKING 7 children have died in an early morning house fire in Halifax Neighbours say the youngest was just 3 m ,Negative,breaking  children died morning house fire halifax neighbours ,0,6
This is just gutting Unbelievable gt Family that lost 7 children in fire came to Halifax as refugees in 2017 ,Negative,gutting unbelievable gt family lost  children fire halifax refugees ,1,6
We haven t been to Halifax for a number of years but if when my wife amp I ever go back we will certainly go back t ,Negative,haven halifax wife amp,0,1
RT Ashess When giving me directions please DO NOT call street names especially in the town of St George I don t know where is Melvi ,Negative,ashess giving directions please call street names especially town george melvi,1,4
RT portiaclarkcbc Heartbreaking Halifax house fire kills 7 children of refugee family CBC News ,Negative,portiaclarkcbc heartbreaking halifax house fire kills  children refugee family cbc news,0,7
RT SJA NS PEI St John Ambulance NS PEI CEO CEOSJANS speaking with CyrilLunneyCTV announcing the partnership with Emera Inc today in ,Neutral,sja pei john ambulance pei ceo ceosjans speaking cyrillunneyctv announcing partnership emera,0,0
Unimaginable tragedy HalifaxFire Family that lost 7 children in fire came to Halifax as refugees in 2017 ,Negative,unimaginable tragedy halifaxfire family lost  children fire halifax refugees ,0,6
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT CBCNS Family that lost 7 children in house fire came to Halifax as refugees in 2017 ,Negative,cbcns family lost  children house fire halifax refugees ,0,3
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT AlexanderQuon It s important to reflect on the past That s part of the reason I wrote this story which examines the 100th anniversar ,Negative,alexanderquon reflect past reason wrote story examines th anniversar,0,1
RT BulletinSport Martinsville boys will play Dan River at Halifax Friday night in the Region 2C semifinals ,Negative,bulletinsport martinsville boys play dan river halifax friday night region c semifinals,0,2
RT haligonia Today is a sad and tragic day after a fatal fire in Halifax A family suffered a terrible tragedy And this is a strong re ,Negative,haligonia sad tragic fatal fire halifax family suffered terrible tragedy strong,1,12
Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to th ,Negative,words fail children soon especially circumstances heart goes,0,2
Jill and I are heartbroken to hear about the devastating fire in Halifax Our prayers are with the parents as they ,Negative,jill heartbroken hear devastating fire halifax prayers parents,0,5
 BREAKING 7 children have died in an early morning house fire in Halifax Neighbours say the youngest was just 3 m ,Negative,breaking  children died morning house fire halifax neighbours ,0,6
 KStuebing BoyesWilliam Chief thoughts and prayers are with Halifax this evening Sad news,Negative,kstuebing boyeswilliam chief prayers halifax evening sad news,0,2
RT IAFF1212 There was an unimaginable tragedy in Halifax this morning Sending our condolences to the family friends amp community Our ,Negative,iaff unimaginable tragedy halifax morning sending condolences family friends amp community,1,6
RT VestsCanada This was just taken from the UnitedWeRoll FB page on a thread abt him going to Halifax Trudeau is apparently responsi ,Negative,vestscanada unitedweroll fb page thread abt halifax trudeau apparently responsi,0,2
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT alien rogue DeanLoveWpg RetiredCdnRJB MerlinYYC CBCNews There were a lot of pro things present at the Meh rally but clarity ,Negative,alien rogue deanlovewpg retiredcdnrjb merlinyyc cbcnews lot meh clarity,2,4
This was just taken from the UnitedWeRoll FB page on a thread abt him going to Halifax Trudeau is apparently r ,Negative,unitedweroll fb page thread abt halifax trudeau apparently,0,2
RT THE PFFM Shame on massmunicipal and Town of Halifax for not wanting to take care of FF s with occupational cancer This is why we con ,Negative,pffm shame massmunicipal town halifax care occupational cancer,0,4
RT THE PFFM Shame on massmunicipal and Town of Halifax for not wanting to take care of FF s with occupational cancer This is why we con ,Negative,pffm shame massmunicipal town halifax care occupational cancer,0,4
RT AndyFillmoreHFX Halifax is hurting from an immeasurable loss of life today following a house fire in Spryfield They arrived as refu ,Negative,andyfillmorehfx halifax hurting immeasurable loss life following house fire spryfield arrived refu,1,6
RT Rodriguez Pab I m deeply saddened to learn that the lives of seven innocent children were claimed during a house fire in Halifax My t ,Negative,rodriguez pab deeply saddened learn lives seven innocent children claimed house fire halifax,0,4
RT Rodriguez Pab Je suis profond ment attrist d apprendre le d c s de sept jeunes enfants qui ont perdu la vie dans un incendie Halifa ,Neutral,rodriguez pab je suis profond ment attrist apprendre sept jeunes enfants ont perdu vie dans incendie halifa,1,1
RT CTVAtlantic Our entire municipality is heartbroken Seven children die in Halifax house fire Photo Laker PatHealey ,Negative,ctvatlantic entire municipality heartbroken seven children die halifax house fire photo laker pathealey,2,5
Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to th ,Negative,words fail children soon especially circumstances heart goes,0,2
Jill and I are heartbroken to hear about the devastating fire in Halifax Our prayers are with the parents as they ,Negative,jill heartbroken hear devastating fire halifax prayers parents,0,5
 BREAKING 7 children have died in an early morning house fire in Halifax Neighbours say the youngest was just 3 m ,Negative,breaking  children died morning house fire halifax neighbours ,0,6
 KStuebing BoyesWilliam Chief thoughts and prayers are with Halifax this evening Sad news,Negative,kstuebing boyeswilliam chief prayers halifax evening sad news,0,2
RT IAFF1212 There was an unimaginable tragedy in Halifax this morning Sending our condolences to the family friends amp community Our ,Negative,iaff unimaginable tragedy halifax morning sending condolences family friends amp community,1,6
RT VestsCanada This was just taken from the UnitedWeRoll FB page on a thread abt him going to Halifax Trudeau is apparently responsi ,Negative,vestscanada unitedweroll fb page thread abt halifax trudeau apparently responsi,0,2
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT alien rogue DeanLoveWpg RetiredCdnRJB MerlinYYC CBCNews There were a lot of pro things present at the Meh rally but clarity ,Negative,alien rogue deanlovewpg retiredcdnrjb merlinyyc cbcnews lot meh clarity,2,4
This was just taken from the UnitedWeRoll FB page on a thread abt him going to Halifax Trudeau is apparently r ,Negative,unitedweroll fb page thread abt halifax trudeau apparently,0,2
RT THE PFFM Shame on massmunicipal and Town of Halifax for not wanting to take care of FF s with occupational cancer This is why we con ,Negative,pffm shame massmunicipal town halifax care occupational cancer,0,4
RT THE PFFM Shame on massmunicipal and Town of Halifax for not wanting to take care of FF s with occupational cancer This is why we con ,Negative,pffm shame massmunicipal town halifax care occupational cancer,0,4
RT AndyFillmoreHFX Halifax is hurting from an immeasurable loss of life today following a house fire in Spryfield They arrived as refu ,Negative,andyfillmorehfx halifax hurting immeasurable loss life following house fire spryfield arrived refu,1,6
RT Rodriguez Pab I m deeply saddened to learn that the lives of seven innocent children were claimed during a house fire in Halifax My t ,Negative,rodriguez pab deeply saddened learn lives seven innocent children claimed house fire halifax,0,4
RT Rodriguez Pab Je suis profond ment attrist d apprendre le d c s de sept jeunes enfants qui ont perdu la vie dans un incendie Halifa ,Neutral,rodriguez pab je suis profond ment attrist apprendre sept jeunes enfants ont perdu vie dans incendie halifa,1,1
RT CTVAtlantic Our entire municipality is heartbroken Seven children die in Halifax house fire Photo Laker PatHealey ,Negative,ctvatlantic entire municipality heartbroken seven children die halifax house fire photo laker pathealey,2,5
tweet,Neutral,tweet,0,0
RT RefugeeClinic A completely devastating and heartbreaking tragedy Such a beautiful and resilient family who came here for a better and ,Negative,refugeeclinic completely devastating heartbreaking tragedy beautiful resilient family,2,7
 Rest in peace 7 sweet angels bears4barhochildren halifax governorsbrook spryfield 7sweetangels ,Positive,peace  sweet angels bearsbarhochildren halifax governorsbrook spryfield sweetangels,3,2
RT illogiquesabst Des salopards ceux qui tiennent de tels propos orduriers peut importe l origine des gens la couleur de peau la reli ,Negative,illogiquesabst salopards ceux tiennent tels propos orduriers peut importe origine gens couleur peau reli,0,1
 AbuHurairaAHC ,Neutral,abuhurairaahc,0,0
 AbuHurairaAHC ,Neutral,abuhurairaahc,0,0
I M MOVING BACK TO OTTAWA ONTARIO MARCH 28TH 2019 MY FLIGHT IS BOOKED I DEPART HALIFAX FOR OTTAWA MARCH 28TH 2019 A ,Negative,moving ottawa ontario march th  flight booked depart halifax ottawa march th ,0,2
May Allah grant them all Jannat ul Firdous Ameen Islam Halifax ,Negative,allah grant jannat firdous ameen islam halifax,0,2
Wnd NW 13 km h Max 59 2 km h at 06 18 Dry T 7 6C Chill 13C H 7 5C L 13 9C Rn24h 0 0 mm DP 17 7C Hum 4 ,Negative,wnd nw  km max   km   dry  c chill c  c  c rnh   mm dp  c hum ,0,3
Last one of the season Come out on Wednesday Feb 20 at 7 00 p m to find out what you need to know about ,Neutral,season wednesday feb   ,0,0
RT AbtIslamNet May Allah grant them all Jannat ul Firdous Ameen Islam Halifax ,Negative,abtislamnet allah grant jannat firdous ameen islam halifax,0,2
Can we talk about the poor mother in Halifax that lost all 7 of her children Who s husband is on the verge of dyin ,Negative,talk poor mother halifax lost  children husband verge dyin,0,3
RT CTVNews Community asked to put out teddy bears in honour of 7 children killed in Halifax fire ,Negative,ctvnews community teddy bears honour  children killed halifax fire,2,4
RT Peacebychoco We are partnering with Vandal Doughnuts to donate all the proceeds of sales to the beautiful hearted family affected with ,Positive,peacebychoco partnering vandal doughnuts donate proceeds sales beautiful hearted family affected,2,1
RT periodicovzlano Voraz incendio en Halifax provoca la muerte de siete ni os de una familia siria ,Negative,periodicovzlano voraz incendio halifax provoca muerte siete una familia siria,0,1
R I P,Neutral,,0,0
There will be a community gathering tonight at 7 pm at Grand Parade Square to show support for the Barho family and ,Positive,community gathering tonight  pm grand parade square support barho family,3,0
RT swiftpat Construction Site Tools Require PAT Testing Every 3months That s what we do Free quotes at twee ,Negative,swiftpat construction site tools require pat testing months free quotes,2,3
Congrats 2019 Laureates We are so proud to support JA and youth leadership in NovaScotia Great to see our parent ,Positive,congrats  laureates proud support ja youth leadership novascotia parent,3,0
Don t submit then quit Apply for jobs like Mental Health Technician Psychiatric Services at Halifax Health th ,Negative,submit apply jobs mental health technician psychiatric services halifax health,1,3
 AirCanada Hey just wondering about Halifax travel alert ,Positive,aircanada wondering halifax travel alert,2,1
RT schpierre Mentionner l appartenance religieuse des victimes de l incendie d Halifax est discriminatoire de la part de Radio Canada S ,Negative,schpierre mentionner appartenance religieuse victimes incendie halifax discriminatoire radio canada,0,4
RT eddylooksfrench BigTimeWolves I was born in Yeovil parents in the navy grew up in Halifax WY went to my first home game in 95 ,Negative,eddylooksfrench bigtimewolves born yeovil parents navy grew halifax wy home game ,0,1
I am loving our new novascotia Tartan Fleece pants Handmade in halifax by us They come in Small Medium and Lar ,Negative,loving novascotia tartan fleece pants handmade halifax medium,1,4
You should be very careful if who you stick up for editorialcartoon HamOnt Halifax metoo,Negative,careful stick editorialcartoon hamont halifax metoo,0,1
RT FloorballNS We need volunteers SportNovaScotia EventsNS hfxnovascotia hfxcivicevents hfxgov VolunteerNS ,Negative,floorballns volunteers sportnovascotia eventsns hfxnovascotia hfxcivicevents hfxgov volunteerns,0,2
No Black people pictured in the Black neighbourhood via tim bousquet Halifax HRM,Negative,black people pictured black neighbourhood via tim bousquet halifax hrm,0,2
RT George CFC Vanarama national fans ranked Class tier Chesterfield Good tier Wrexham Orient Halifax Bad tier The rest Shit tier ,Negative,george cfc vanarama national fans ranked class tier chesterfield tier wrexham orient halifax bad tier shit tier,1,3
RT shsk Halifax House Fire Tragedy ,Negative,shsk halifax house fire tragedy,0,4
 OTW to Halifax,Negative,otw halifax,0,1
Wind Chill Factors reaching close to 30 c tonight ,Negative,wind chill factors reaching close  tonight,1,3
RT MBBerjawi While studying medicine at LebAmUniv I had my medical electives in the hospitals of Halifax Montreal and Toronto ironical ,Negative,mbberjawi studying medicine lebamuniv medical electives hospitals halifax montreal toronto ironical,0,4
 Halifax s CRUrbanFarm is looking to move from its current spot at Robie Street and Bell Road to a green space by ,Negative,halifax crurbanfarm looking move current spot robie street bell road green space,0,1
Hey Capebreton check out our NEW fleece pants created right here in halifax novascotia by us 40 plus tax and ,Negative,capebreton check fleece pants created halifax novascotia  plus tax,0,4
RT AndyFillmoreHFX Vigil for the Barho Family taking place at 7pm tonight February 20th at Grand Parade in Halifax Please spread ,Negative,andyfillmorehfx vigil barho family taking pm tonight february th grand parade halifax please spread,2,3
Y siguen las desesperadas intentonas de la diplomacia republicana por medio de Lord Halifax ministro brit nico pa ,Negative,siguen desesperadas intentonas diplomacia republicana medio lord halifax ministro brit nico,0,1
Hey newbrunswick check out our Fleece pants made in your tartan Handmade in halifax novascotia by us 40 plu ,Negative,newbrunswick check fleece pants tartan handmade halifax novascotia  plu,0,5
RT nick logan Heartbreaking news out of Halifax Police confirm 7 children killed in house fire this morning All were children of a Syr ,Negative,nick logan heartbreaking news halifax police confirm  children killed house fire morning children syr,1,7
RT AndyFillmoreHFX Vigil for the Barho Family taking place at 7pm tonight February 20th at Grand Parade in Halifax Please spread ,Negative,andyfillmorehfx vigil barho family taking pm tonight february th grand parade halifax please spread,2,3
RT AlexanderQuon The Ummah Mosque has released the ages and identities of the seven children who died in a fire in Spryfield Heartbreaki ,Negative,alexanderquon ummah mosque released ages identities seven children died fire spryfield heartbreaki,2,6
 JPogubila 680NEWS do homeless in Halifax also get to live in a new home Asking for a friend,Negative,jpogubila news homeless halifax live home friend,0,1
 Coopacdc Hello I invite you to keep an eye on the travel alerts as Halifax is not yet part of those areas affecte ,Negative,coopacdc hello invite eye travel alerts halifax affecte,0,2
RT North Nova It seems impossible Group that sponsored Syrian refugee family mourns children CBC News ,Negative,north nova impossible sponsored syrian refugee family mourns children cbc news,0,3
RT TheRickHoweShow A community gathering is scheduled for tonight at 7 p m at Grand Parade Square to remember the Spryfield fire victim ,Positive,therickhoweshow community gathering scheduled tonight  grand parade square remember spryfield fire victim,3,2
How good was that,Neutral,,0,0
RT AndyFillmoreHFX Vigil for the Barho Family taking place at 7pm tonight February 20th at Grand Parade in Halifax Please spread ,Negative,andyfillmorehfx vigil barho family taking pm tonight february th grand parade halifax please spread,2,3
I can t stop thinking about all those kids killed in that house fire in Halifax Devastated gutted heartbroken ,Negative,stop thinking kids killed house fire halifax devastated gutted heartbroken,2,8
 ,Neutral,,0,0
Seven Syrian refugee children die in early morning Halifax house fire Topbuzz ,Negative,seven syrian refugee children die morning halifax house fire topbuzz,1,3
pussy lips peachyforum free clean porn sites medical sexcyschool girls blow job julian pierce fucked gallries teen ,Positive,pussy lips peachyforum free clean porn sites medical sexcyschool girls blow job julian pierce fucked gallries teen,4,3
RT RefugeeClinic A completely devastating and heartbreaking tragedy Such a beautiful and resilient family who came here for a better and ,Negative,refugeeclinic completely devastating heartbreaking tragedy beautiful resilient family,2,7
RT nspowerinc Congrats 2019 Laureates We are so proud to support JA and youth leadership in NovaScotia Great to see our parent company ,Positive,nspowerinc congrats  laureates proud support ja youth leadership novascotia parent company,3,1
 I ve never had a Black teacher Halifax panel tackles inequality in the classroom via ,Negative,black teacher halifax panel tackles inequality classroom via,0,5
RT nspowerinc Congrats 2019 Laureates We are so proud to support JA and youth leadership in NovaScotia Great to see our parent company ,Positive,nspowerinc congrats  laureates proud support ja youth leadership novascotia parent company,3,1
RT AndyFillmoreHFX Halifax is hurting from an immeasurable loss of life today following a house fire in Spryfield They arrived as refu ,Negative,andyfillmorehfx halifax hurting immeasurable loss life following house fire spryfield arrived refu,1,6
RT TopSegunda Viendo este art culo compartido por Lugoslavia alguien se hab a dado cuenta de que Jaime Mata est en la imagen Curioso ,Positive,topsegunda viendo culo compartido lugoslavia alguien hab dado cuenta que jaime mata imagen curioso,2,0
RT Peacebychoco We are partnering with Vandal Doughnuts to donate all the proceeds of sales to the beautiful hearted family affected with ,Positive,peacebychoco partnering vandal doughnuts donate proceeds sales beautiful hearted family affected,2,1
A truly heartbreaking story From everyone at All Craft our thoughts and prayers go out to the family community a ,Negative,truly heartbreaking story craft prayers family community,1,3
very tragic they may have been unfamiliar with western appliances and safety precautions we just take for granted ,Negative,tragic unfamiliar western appliances safety precautions granted,1,6
RT BriggsPriestley We believe branding your building not only says who you are but helps people to find you and build trust in the busi ,Negative,briggspriestley believe branding building helps people build trust busi,1,5
Here s a free event being put on by the ppforumca at DalhousieU on March 6th featuring carljackmiller on synthe ,Neutral,free event ppforumca dalhousieu march th featuring carljackmiller synthe,2,2
RT ToulasTake The story out of Halifax about the Syrian family losing all six children in a fire broke my heart The comments found on t ,Negative,toulastake story halifax syrian family losing six children fire broke heart comments found,0,5
Police at N S school responding to weapons complaint Nearby streets shut down Halifax Regional Police asking peop ,Negative,police school responding weapons complaint nearby streets shut halifax regional police peop,0,5
If this Halifax expansion doesn t work this time around I fully expect it to fall apart let us never ever ever t ,Negative,halifax expansion doesn time expect fall apart,0,3
Another good gathering RamsdensLLP Huddersfield4U Huddersfieldis,Neutral,gathering ramsdensllp huddersfieldu huddersfieldis,0,0
RT CBCAlerts Police at N S school responding to weapons complaint Nearby streets shut down Halifax Regional Police asking people to avo ,Negative,cbcalerts police school responding weapons complaint nearby streets shut halifax regional police people avo,0,5
RT CBCAlerts Police at N S school responding to weapons complaint Nearby streets shut down Halifax Regional Police asking people to avo ,Negative,cbcalerts police school responding weapons complaint nearby streets shut halifax regional police people avo,0,5
RT NarcityCanada Canadians are heartbroken over the incident canada ,Negative,narcitycanada canadians heartbroken incident canada,0,3
RT Cam Oflage it would be rly good if the general energy in Canada shifted away from assuming we can t end up like Brazil the US etc ,Negative,oflage energy canada shifted assuming brazil etc,0,1
RT ocean panda My heart aches so much for this family I ll be there in spirit ,Negative,ocean panda heart aches family spirit,0,3
Wnd NNW 22 km h Max 59 2 km h at 06 18 Dry T 7 6C Chill 14C H 7 5C L 13 9C Rn24h 0 0 mm DP 18 0C Hum ,Negative,wnd nnw  km max   km   dry  c chill c  c  c rnh   mm dp  c hum,0,3
Halifax has expanded their apprenticeship procurement program to help equip workers with in demand skills See ,Neutral,halifax expanded apprenticeship procurement program help equip workers demand skills,4,4
Our hearts and thoughts are with family and friends of the Barho family Syrian Refugees who came to Canada in 2017 ,Neutral,hearts family friends barho family syrian refugees canada ,0,0
RT AndyFillmoreHFX Halifax is hurting from an immeasurable loss of life today following a house fire in Spryfield They arrived as refu ,Negative,andyfillmorehfx halifax hurting immeasurable loss life following house fire spryfield arrived refu,1,6
Just in from police ,Neutral,police,0,0
RT CBCAlerts Police at N S school responding to weapons complaint Nearby streets shut down Halifax Regional Police asking people to avo ,Negative,cbcalerts police school responding weapons complaint nearby streets shut halifax regional police people avo,0,5
Developing our capacity for compassion makes it possible for us to help others in a more skillful and effective way Roshi Joan Halifax,Positive,developing capacity compassion makes help skillful effective roshi joan halifax,5,2
Halifax calls community gathering to mourn Syrian children killed in fire law legalnews ,Negative,halifax calls community gathering mourn syrian children killed fire law legalnews,2,5
RT WarringtonRLFC1 A look back at this unbelievable try by jonathan davies at thrum hall vs halifax The way he fakes the kick and puts t ,Negative,warringtonrlfc look unbelievable try jonathan davies thrum vs halifax fakes kick,1,5
In the recent years IranianRefugeesInTurkey have lost all opportunities to provide a reasonable condition for our ,Negative,recent iranianrefugeesinturkey lost opportunities provide reasonable condition,1,2
RT GarrisonBrewing We re hiring Check out our posting for Sales Representative HRM here halifaxnoisejobs hal ,Negative,garrisonbrewing hiring check posting sales representative hrm halifaxnoisejobs,1,6
In the recent years IranianRefugeesInTurkey have lost all opportunities to provide a reasonable condition for our ,Negative,recent iranianrefugeesinturkey lost opportunities provide reasonable condition,1,2
RT CBCAlerts Police have confirmed multiple fatalities in an overnight house fire in Spryfield within the Halifax Regional Municipality ,Negative,cbcalerts police confirmed multiple fatalities overnight house fire spryfield halifax regional municipality,0,5
